segment_id,song_id,audio_path,valence_mean,arousal_mean
1193,1193,data/processed_audio/1193.wav,4.4,3.9
380,380,data/processed_audio/380.wav,5.6,4.8
371,371,data/processed_audio/371.wav,5.2,6.6
1046,1046,data/processed_audio/1046.wav,5.6,5.0
1281,1281,data/processed_audio/1281.wav,5.4,4.5
304,304,data/processed_audio/304.wav,3.8,4.6
1112,1112,data/processed_audio/1112.wav,3.1,2.3
794,794,data/processed_audio/794.wav,2.5,4.2
1911,1911,data/processed_audio/1911.wav,4.3,5.4
18,18,data/processed_audio/18.wav,4.8,3.9
407,407,data/processed_audio/407.wav,4.3,4.5
2032,2032,data/processed_audio/2032.wav,5.2,4.4
227,227,data/processed_audio/227.wav,3.1,3.5
1778,1778,data/processed_audio/1778.wav,4.4,3.2
1504,1504,data/processed_audio/1504.wav,6.0,5.9
1131,1131,data/processed_audio/1131.wav,4.5,3.4
1650,1650,data/processed_audio/1650.wav,5.9,4.7
1830,1830,data/processed_audio/1830.wav,5.7,5.3
1181,1181,data/processed_audio/1181.wav,3.7,4.4
1394,1394,data/processed_audio/1394.wav,6.0,4.1
318,318,data/processed_audio/318.wav,5.9,5.9
728,728,data/processed_audio/728.wav,6.9,7.5
473,473,data/processed_audio/473.wav,7.1,5.5
293,293,data/processed_audio/293.wav,6.3,4.2
1356,1356,data/processed_audio/1356.wav,5.2,5.2
805,805,data/processed_audio/805.wav,2.2,3.5
1407,1407,data/processed_audio/1407.wav,3.6,3.8
1469,1469,data/processed_audio/1469.wav,3.1,3.2
90,90,data/processed_audio/90.wav,4.3,4.2
831,831,data/processed_audio/831.wav,5.2,6.2
1587,1587,data/processed_audio/1587.wav,5.0,5.5
1834,1834,data/processed_audio/1834.wav,6.3,5.7
519,519,data/processed_audio/519.wav,6.8,5.3
243,243,data/processed_audio/243.wav,7.2,4.1
1209,1209,data/processed_audio/1209.wav,4.4,2.7
1806,1806,data/processed_audio/1806.wav,6.5,6.2
253,253,data/processed_audio/253.wav,6.6,2.5
327,327,data/processed_audio/327.wav,6.0,7.1
989,989,data/processed_audio/989.wav,6.3,6.4
1259,1259,data/processed_audio/1259.wav,3.6,2.8
1942,1942,data/processed_audio/1942.wav,6.4,6.8
2000,2000,data/processed_audio/2000.wav,5.8,6.0
1772,1772,data/processed_audio/1772.wav,5.6,4.3
12,12,data/processed_audio/12.wav,5.5,5.8
960,960,data/processed_audio/960.wav,7.7,7.7
1845,1845,data/processed_audio/1845.wav,5.9,5.9
144,144,data/processed_audio/144.wav,3.4,4.7
1119,1119,data/processed_audio/1119.wav,3.4,2.1
1906,1906,data/processed_audio/1906.wav,4.4,6.2
273,273,data/processed_audio/273.wav,5.4,7.2
554,554,data/processed_audio/554.wav,2.8,5.0
217,217,data/processed_audio/217.wav,3.5,4.8
275,275,data/processed_audio/275.wav,5.3,5.5
1077,1077,data/processed_audio/1077.wav,6.4,4.8
681,681,data/processed_audio/681.wav,4.9,6.6
666,666,data/processed_audio/666.wav,5.3,5.0
1826,1826,data/processed_audio/1826.wav,5.1,3.7
1032,1032,data/processed_audio/1032.wav,3.3,4.1
1604,1604,data/processed_audio/1604.wav,4.5,3.6
1877,1877,data/processed_audio/1877.wav,6.2,5.5
111,111,data/processed_audio/111.wav,5.3,5.3
1130,1130,data/processed_audio/1130.wav,3.8,3.1
1153,1153,data/processed_audio/1153.wav,3.9,2.5
1955,1955,data/processed_audio/1955.wav,5.5,6.5
1248,1248,data/processed_audio/1248.wav,3.7,3.0
1478,1478,data/processed_audio/1478.wav,5.1,3.5
1663,1663,data/processed_audio/1663.wav,4.6,4.9
130,130,data/processed_audio/130.wav,3.3,4.2
1472,1472,data/processed_audio/1472.wav,5.0,5.2
1732,1732,data/processed_audio/1732.wav,4.2,3.0
159,159,data/processed_audio/159.wav,3.8,3.1
1002,1002,data/processed_audio/1002.wav,4.5,3.2
1882,1882,data/processed_audio/1882.wav,5.5,6.2
1685,1685,data/processed_audio/1685.wav,5.4,4.5
1635,1635,data/processed_audio/1635.wav,6.8,6.1
550,550,data/processed_audio/550.wav,4.2,5.9
1211,1211,data/processed_audio/1211.wav,5.5,4.7
1300,1300,data/processed_audio/1300.wav,6.0,4.5
1348,1348,data/processed_audio/1348.wav,5.8,6.3
1035,1035,data/processed_audio/1035.wav,4.3,4.2
1567,1567,data/processed_audio/1567.wav,4.0,5.0
1188,1188,data/processed_audio/1188.wav,4.7,3.3
781,781,data/processed_audio/781.wav,4.9,6.3
1999,1999,data/processed_audio/1999.wav,4.6,5.4
646,646,data/processed_audio/646.wav,3.1,3.8
1344,1344,data/processed_audio/1344.wav,6.3,5.5
376,376,data/processed_audio/376.wav,5.0,5.9
1221,1221,data/processed_audio/1221.wav,5.4,5.3
1108,1108,data/processed_audio/1108.wav,4.8,3.7
1133,1133,data/processed_audio/1133.wav,5.0,2.4
2026,2026,data/processed_audio/2026.wav,5.6,4.0
1644,1644,data/processed_audio/1644.wav,5.0,5.9
115,115,data/processed_audio/115.wav,8.4,7.8
744,744,data/processed_audio/744.wav,6.1,5.5
1461,1461,data/processed_audio/1461.wav,5.3,4.2
452,452,data/processed_audio/452.wav,5.45,6.75
1081,1081,data/processed_audio/1081.wav,5.0,3.5
1033,1033,data/processed_audio/1033.wav,5.3,5.6
574,574,data/processed_audio/574.wav,4.5,4.8
1435,1435,data/processed_audio/1435.wav,3.6,5.3
146,146,data/processed_audio/146.wav,2.4,3.5
1923,1923,data/processed_audio/1923.wav,6.4,6.2
387,387,data/processed_audio/387.wav,6.2,6.2
1328,1328,data/processed_audio/1328.wav,4.4,2.7
819,819,data/processed_audio/819.wav,4.0,5.7
232,232,data/processed_audio/232.wav,2.5,2.7
284,284,data/processed_audio/284.wav,4.4,5.2
1210,1210,data/processed_audio/1210.wav,3.8,2.4
1454,1454,data/processed_audio/1454.wav,5.2,3.6
1489,1489,data/processed_audio/1489.wav,4.9,4.6
1985,1985,data/processed_audio/1985.wav,4.8,5.6
1916,1916,data/processed_audio/1916.wav,5.4,6.3
810,810,data/processed_audio/810.wav,6.5,6.6
437,437,data/processed_audio/437.wav,5.2,4.3
335,335,data/processed_audio/335.wav,6.8,6.8
1940,1940,data/processed_audio/1940.wav,5.1,5.6
617,617,data/processed_audio/617.wav,6.5,3.0
691,691,data/processed_audio/691.wav,5.0,3.7
1831,1831,data/processed_audio/1831.wav,6.2,5.6
737,737,data/processed_audio/737.wav,4.1,4.9
600,600,data/processed_audio/600.wav,3.5,4.0
1939,1939,data/processed_audio/1939.wav,4.4,3.2
460,460,data/processed_audio/460.wav,3.8,3.8
606,606,data/processed_audio/606.wav,4.1,5.6
1380,1380,data/processed_audio/1380.wav,4.1,4.5
1260,1260,data/processed_audio/1260.wav,7.2,6.5
479,479,data/processed_audio/479.wav,4.5,5.7
640,640,data/processed_audio/640.wav,7.6,7.8
451,451,data/processed_audio/451.wav,4.9,4.4
1194,1194,data/processed_audio/1194.wav,3.4,2.5
314,314,data/processed_audio/314.wav,5.8,5.9
665,665,data/processed_audio/665.wav,5.7,6.2
1147,1147,data/processed_audio/1147.wav,4.6,3.6
329,329,data/processed_audio/329.wav,3.3,4.2
961,961,data/processed_audio/961.wav,5.6,5.5
254,254,data/processed_audio/254.wav,5.3,7.4
1139,1139,data/processed_audio/1139.wav,5.1,2.5
233,233,data/processed_audio/233.wav,4.7,4.5
813,813,data/processed_audio/813.wav,6.2,6.7
1129,1129,data/processed_audio/1129.wav,3.5,2.4
1805,1805,data/processed_audio/1805.wav,5.7,4.9
1874,1874,data/processed_audio/1874.wav,5.0,6.3
779,779,data/processed_audio/779.wav,2.8,5.3
921,921,data/processed_audio/921.wav,5.9,6.1
1447,1447,data/processed_audio/1447.wav,4.4,4.1
808,808,data/processed_audio/808.wav,3.1,4.3
1457,1457,data/processed_audio/1457.wav,5.4,4.8
1448,1448,data/processed_audio/1448.wav,4.4,4.4
1768,1768,data/processed_audio/1768.wav,4.1,3.1
1595,1595,data/processed_audio/1595.wav,5.6,5.9
1458,1458,data/processed_audio/1458.wav,4.2,4.7
1883,1883,data/processed_audio/1883.wav,5.6,4.5
342,342,data/processed_audio/342.wav,4.0,5.1
795,795,data/processed_audio/795.wav,2.2,3.5
137,137,data/processed_audio/137.wav,4.3,5.8
330,330,data/processed_audio/330.wav,5.9,3.1
193,193,data/processed_audio/193.wav,4.1,3.0
1219,1219,data/processed_audio/1219.wav,4.3,2.2
1501,1501,data/processed_audio/1501.wav,5.0,4.9
51,51,data/processed_audio/51.wav,3.6,3.2
1351,1351,data/processed_audio/1351.wav,6.3,5.9
1120,1120,data/processed_audio/1120.wav,3.4,2.8
1163,1163,data/processed_audio/1163.wav,6.2,5.3
834,834,data/processed_audio/834.wav,4.7,4.3
1626,1626,data/processed_audio/1626.wav,6.1,6.0
1943,1943,data/processed_audio/1943.wav,4.2,4.4
731,731,data/processed_audio/731.wav,7.3,5.8
1059,1059,data/processed_audio/1059.wav,4.7,7.5
612,612,data/processed_audio/612.wav,5.6,6.6
24,24,data/processed_audio/24.wav,5.3,3.9
1287,1287,data/processed_audio/1287.wav,4.5,4.3
1899,1899,data/processed_audio/1899.wav,5.0,4.1
915,915,data/processed_audio/915.wav,5.0,5.2
343,343,data/processed_audio/343.wav,7.0,8.1
1023,1023,data/processed_audio/1023.wav,2.9,2.3
1034,1034,data/processed_audio/1034.wav,3.3,2.8
1799,1799,data/processed_audio/1799.wav,5.8,4.5
833,833,data/processed_audio/833.wav,5.0,5.8
1271,1271,data/processed_audio/1271.wav,4.6,4.7
55,55,data/processed_audio/55.wav,5.8,5.4
96,96,data/processed_audio/96.wav,6.8,6.9
663,663,data/processed_audio/663.wav,3.3,4.3
13,13,data/processed_audio/13.wav,3.2,4.0
390,390,data/processed_audio/390.wav,5.7,6.2
1965,1965,data/processed_audio/1965.wav,3.3,3.5
1432,1432,data/processed_audio/1432.wav,3.7,2.6
1593,1593,data/processed_audio/1593.wav,4.7,3.5
1522,1522,data/processed_audio/1522.wav,5.2,5.7
1930,1930,data/processed_audio/1930.wav,4.6,4.0
2006,2006,data/processed_audio/2006.wav,5.0,3.2
1374,1374,data/processed_audio/1374.wav,6.0,4.1
1833,1833,data/processed_audio/1833.wav,4.5,3.2
1088,1088,data/processed_audio/1088.wav,7.3,6.6
973,973,data/processed_audio/973.wav,6.5,4.6
2035,2035,data/processed_audio/2035.wav,3.4,4.6
1009,1009,data/processed_audio/1009.wav,3.5,3.7
1773,1773,data/processed_audio/1773.wav,5.4,4.1
1810,1810,data/processed_audio/1810.wav,4.1,4.0
1314,1314,data/processed_audio/1314.wav,4.1,4.1
288,288,data/processed_audio/288.wav,3.5,5.2
127,127,data/processed_audio/127.wav,3.0,5.3
1789,1789,data/processed_audio/1789.wav,5.9,5.1
485,485,data/processed_audio/485.wav,2.6,3.7
1247,1247,data/processed_audio/1247.wav,4.4,6.3
1922,1922,data/processed_audio/1922.wav,5.6,5.8
1972,1972,data/processed_audio/1972.wav,6.0,5.9
1216,1216,data/processed_audio/1216.wav,5.5,5.3
1103,1103,data/processed_audio/1103.wav,3.6,3.5
108,108,data/processed_audio/108.wav,4.5,4.2
780,780,data/processed_audio/780.wav,5.8,6.2
309,309,data/processed_audio/309.wav,5.3,5.8
48,48,data/processed_audio/48.wav,4.5,4.8
890,890,data/processed_audio/890.wav,3.6,4.7
482,482,data/processed_audio/482.wav,1.9,3.5
1251,1251,data/processed_audio/1251.wav,6.9,6.3
1897,1897,data/processed_audio/1897.wav,4.2,3.8
699,699,data/processed_audio/699.wav,3.7,4.5
1446,1446,data/processed_audio/1446.wav,5.8,3.2
286,286,data/processed_audio/286.wav,5.7,6.9
1425,1425,data/processed_audio/1425.wav,5.1,5.2
535,535,data/processed_audio/535.wav,6.1,6.5
1498,1498,data/processed_audio/1498.wav,4.8,3.8
366,366,data/processed_audio/366.wav,6.9,6.1
1411,1411,data/processed_audio/1411.wav,3.9,2.7
1691,1691,data/processed_audio/1691.wav,3.7,3.6
1631,1631,data/processed_audio/1631.wav,5.7,4.8
1902,1902,data/processed_audio/1902.wav,4.4,7.3
1203,1203,data/processed_audio/1203.wav,4.0,3.4
1040,1040,data/processed_audio/1040.wav,6.2,5.3
1322,1322,data/processed_audio/1322.wav,6.5,5.5
1774,1774,data/processed_audio/1774.wav,4.9,4.8
1841,1841,data/processed_audio/1841.wav,4.6,3.1
555,555,data/processed_audio/555.wav,5.2,4.8
1586,1586,data/processed_audio/1586.wav,4.3,5.0
1505,1505,data/processed_audio/1505.wav,4.2,4.9
1653,1653,data/processed_audio/1653.wav,4.3,3.1
1320,1320,data/processed_audio/1320.wav,3.8,6.5
869,869,data/processed_audio/869.wav,2.6,4.1
2011,2011,data/processed_audio/2011.wav,4.2,5.0
1257,1257,data/processed_audio/1257.wav,5.0,3.8
909,909,data/processed_audio/909.wav,6.0,5.5
2040,2040,data/processed_audio/2040.wav,3.6,7.0
520,520,data/processed_audio/520.wav,4.0,5.5
1308,1308,data/processed_audio/1308.wav,5.8,5.3
1378,1378,data/processed_audio/1378.wav,5.5,5.7
186,186,data/processed_audio/186.wav,3.7,4.0
109,109,data/processed_audio/109.wav,4.4,4.5
1213,1213,data/processed_audio/1213.wav,3.1,2.8
1892,1892,data/processed_audio/1892.wav,5.1,6.1
1439,1439,data/processed_audio/1439.wav,4.1,2.9
1976,1976,data/processed_audio/1976.wav,4.9,5.4
1250,1250,data/processed_audio/1250.wav,7.0,7.4
358,358,data/processed_audio/358.wav,5.6,4.2
829,829,data/processed_audio/829.wav,2.3,4.5
1375,1375,data/processed_audio/1375.wav,5.6,5.6
1787,1787,data/processed_audio/1787.wav,3.9,3.4
1095,1095,data/processed_audio/1095.wav,6.2,6.2
782,782,data/processed_audio/782.wav,7.2,4.7
239,239,data/processed_audio/239.wav,2.3,3.3
85,85,data/processed_audio/85.wav,7.1,6.2
1995,1995,data/processed_audio/1995.wav,4.7,4.7
797,797,data/processed_audio/797.wav,4.9,5.4
1323,1323,data/processed_audio/1323.wav,5.5,5.0
722,722,data/processed_audio/722.wav,5.7,7.0
1232,1232,data/processed_audio/1232.wav,6.9,6.3
1340,1340,data/processed_audio/1340.wav,6.4,5.7
944,944,data/processed_audio/944.wav,7.1,6.5
1265,1265,data/processed_audio/1265.wav,5.8,5.5
1966,1966,data/processed_audio/1966.wav,3.6,5.0
1200,1200,data/processed_audio/1200.wav,3.2,3.6
1512,1512,data/processed_audio/1512.wav,3.8,5.2
1031,1031,data/processed_audio/1031.wav,4.8,5.0
698,698,data/processed_audio/698.wav,3.9,3.7
902,902,data/processed_audio/902.wav,7.0,3.3
690,690,data/processed_audio/690.wav,2.4,4.4
269,269,data/processed_audio/269.wav,4.3,4.8
928,928,data/processed_audio/928.wav,5.0,4.0
1509,1509,data/processed_audio/1509.wav,5.9,5.4
478,478,data/processed_audio/478.wav,2.8,3.2
956,956,data/processed_audio/956.wav,4.5,5.4
1636,1636,data/processed_audio/1636.wav,4.6,5.2
784,784,data/processed_audio/784.wav,4.7,5.7
1389,1389,data/processed_audio/1389.wav,4.2,3.3
1836,1836,data/processed_audio/1836.wav,5.6,4.6
734,734,data/processed_audio/734.wav,5.7,6.3
1978,1978,data/processed_audio/1978.wav,6.5,6.5
1263,1263,data/processed_audio/1263.wav,5.8,5.1
456,456,data/processed_audio/456.wav,6.1,2.3
1582,1582,data/processed_audio/1582.wav,5.9,5.4
1471,1471,data/processed_audio/1471.wav,7.3,6.8
391,391,data/processed_audio/391.wav,5.5,6.1
50,50,data/processed_audio/50.wav,3.6,4.8
970,970,data/processed_audio/970.wav,6.6,6.6
1744,1744,data/processed_audio/1744.wav,4.9,4.3
1132,1132,data/processed_audio/1132.wav,4.6,3.4
360,360,data/processed_audio/360.wav,2.5,5.5
1728,1728,data/processed_audio/1728.wav,3.1,4.7
1568,1568,data/processed_audio/1568.wav,5.4,6.0
348,348,data/processed_audio/348.wav,5.0,5.7
503,503,data/processed_audio/503.wav,5.8,6.4
1959,1959,data/processed_audio/1959.wav,4.7,5.8
143,143,data/processed_audio/143.wav,4.0,4.9
323,323,data/processed_audio/323.wav,4.82,5.73
1996,1996,data/processed_audio/1996.wav,3.9,5.9
123,123,data/processed_audio/123.wav,6.1,6.2
1190,1190,data/processed_audio/1190.wav,3.5,2.2
104,104,data/processed_audio/104.wav,6.1,3.3
1242,1242,data/processed_audio/1242.wav,4.7,4.3
1258,1258,data/processed_audio/1258.wav,5.7,5.6
87,87,data/processed_audio/87.wav,5.3,2.6
236,236,data/processed_audio/236.wav,2.5,2.4
345,345,data/processed_audio/345.wav,7.2,6.5
1303,1303,data/processed_audio/1303.wav,6.1,6.5
215,215,data/processed_audio/215.wav,3.2,2.6
1196,1196,data/processed_audio/1196.wav,3.8,2.7
1868,1868,data/processed_audio/1868.wav,5.8,5.0
1669,1669,data/processed_audio/1669.wav,5.5,4.9
1442,1442,data/processed_audio/1442.wav,5.3,2.8
863,863,data/processed_audio/863.wav,6.4,7.0
800,800,data/processed_audio/800.wav,4.5,4.5
65,65,data/processed_audio/65.wav,6.4,5.8
746,746,data/processed_audio/746.wav,3.7,4.6
712,712,data/processed_audio/712.wav,3.4,5.3
957,957,data/processed_audio/957.wav,2.8,4.7
673,673,data/processed_audio/673.wav,6.6,6.7
17,17,data/processed_audio/17.wav,4.4,6.0
1165,1165,data/processed_audio/1165.wav,3.5,2.8
1377,1377,data/processed_audio/1377.wav,3.7,3.1
375,375,data/processed_audio/375.wav,1.9,2.8
1871,1871,data/processed_audio/1871.wav,6.4,6.6
1581,1581,data/processed_audio/1581.wav,6.5,6.1
1948,1948,data/processed_audio/1948.wav,4.0,6.7
1373,1373,data/processed_audio/1373.wav,6.6,5.7
1207,1207,data/processed_audio/1207.wav,4.7,3.4
749,749,data/processed_audio/749.wav,4.2,4.9
924,924,data/processed_audio/924.wav,5.4,6.2
216,216,data/processed_audio/216.wav,4.5,5.3
1343,1343,data/processed_audio/1343.wav,6.0,5.4
608,608,data/processed_audio/608.wav,2.9,3.8
1093,1093,data/processed_audio/1093.wav,5.8,6.0
1479,1479,data/processed_audio/1479.wav,5.0,5.1
1921,1921,data/processed_audio/1921.wav,4.4,6.5
102,102,data/processed_audio/102.wav,6.5,5.4
967,967,data/processed_audio/967.wav,2.8,4.4
1575,1575,data/processed_audio/1575.wav,5.2,5.1
1619,1619,data/processed_audio/1619.wav,5.2,5.3
1283,1283,data/processed_audio/1283.wav,3.3,5.2
1107,1107,data/processed_audio/1107.wav,3.0,3.2
1390,1390,data/processed_audio/1390.wav,6.1,6.3
1484,1484,data/processed_audio/1484.wav,4.4,3.8
1646,1646,data/processed_audio/1646.wav,4.5,3.7
405,405,data/processed_audio/405.wav,6.1,7.4
1555,1555,data/processed_audio/1555.wav,4.4,2.9
671,671,data/processed_audio/671.wav,3.1,3.7
362,362,data/processed_audio/362.wav,4.0,5.9
635,635,data/processed_audio/635.wav,6.6,7.6
2055,2055,data/processed_audio/2055.wav,5.0,5.2
1624,1624,data/processed_audio/1624.wav,5.7,6.4
1536,1536,data/processed_audio/1536.wav,4.8,3.4
8,8,data/processed_audio/8.wav,3.2,4.8
1703,1703,data/processed_audio/1703.wav,5.3,6.7
676,676,data/processed_audio/676.wav,6.6,6.6
1102,1102,data/processed_audio/1102.wav,2.3,4.5
1360,1360,data/processed_audio/1360.wav,5.5,2.9
92,92,data/processed_audio/92.wav,5.8,4.7
1542,1542,data/processed_audio/1542.wav,5.5,5.5
954,954,data/processed_audio/954.wav,5.1,5.5
1342,1342,data/processed_audio/1342.wav,6.5,6.4
157,157,data/processed_audio/157.wav,4.0,6.2
429,429,data/processed_audio/429.wav,3.3,4.3
824,824,data/processed_audio/824.wav,7.2,7.0
2014,2014,data/processed_audio/2014.wav,3.0,6.6
1692,1692,data/processed_audio/1692.wav,3.8,3.3
1613,1613,data/processed_audio/1613.wav,6.2,6.6
84,84,data/processed_audio/84.wav,5.9,5.6
968,968,data/processed_audio/968.wav,3.8,3.2
1357,1357,data/processed_audio/1357.wav,4.5,6.0
294,294,data/processed_audio/294.wav,5.5,6.5
156,156,data/processed_audio/156.wav,6.4,6.7
1304,1304,data/processed_audio/1304.wav,5.2,6.3
1057,1057,data/processed_audio/1057.wav,4.7,7.1
738,738,data/processed_audio/738.wav,5.5,6.2
1268,1268,data/processed_audio/1268.wav,5.3,3.7
1759,1759,data/processed_audio/1759.wav,5.4,4.7
1173,1173,data/processed_audio/1173.wav,4.3,4.0
974,974,data/processed_audio/974.wav,4.1,4.2
796,796,data/processed_audio/796.wav,5.2,5.1
1781,1781,data/processed_audio/1781.wav,4.2,2.7
1061,1061,data/processed_audio/1061.wav,6.5,6.2
991,991,data/processed_audio/991.wav,3.1,3.5
212,212,data/processed_audio/212.wav,4.6,5.4
1055,1055,data/processed_audio/1055.wav,3.7,6.3
1847,1847,data/processed_audio/1847.wav,3.2,2.6
763,763,data/processed_audio/763.wav,3.5,5.5
1366,1366,data/processed_audio/1366.wav,5.4,6.3
1024,1024,data/processed_audio/1024.wav,3.2,2.9
908,908,data/processed_audio/908.wav,5.5,4.9
1864,1864,data/processed_audio/1864.wav,6.1,7.4
638,638,data/processed_audio/638.wav,3.2,4.4
477,477,data/processed_audio/477.wav,7.1,7.2
1886,1886,data/processed_audio/1886.wav,4.1,3.0
1866,1866,data/processed_audio/1866.wav,4.8,4.5
1146,1146,data/processed_audio/1146.wav,2.6,3.4
1267,1267,data/processed_audio/1267.wav,4.5,3.7
565,565,data/processed_audio/565.wav,3.1,3.0
1925,1925,data/processed_audio/1925.wav,4.9,4.5
688,688,data/processed_audio/688.wav,4.3,5.0
44,44,data/processed_audio/44.wav,3.9,4.9
1240,1240,data/processed_audio/1240.wav,2.7,2.6
1141,1141,data/processed_audio/1141.wav,4.5,3.6
45,45,data/processed_audio/45.wav,5.1,2.1
1293,1293,data/processed_audio/1293.wav,5.7,5.1
1503,1503,data/processed_audio/1503.wav,5.9,4.1
1867,1867,data/processed_audio/1867.wav,4.2,4.0
1956,1956,data/processed_audio/1956.wav,5.4,5.9
1156,1156,data/processed_audio/1156.wav,7.0,5.6
1642,1642,data/processed_audio/1642.wav,5.1,4.9
131,131,data/processed_audio/131.wav,6.1,4.9
1678,1678,data/processed_audio/1678.wav,5.1,4.2
1764,1764,data/processed_audio/1764.wav,4.9,4.0
1324,1324,data/processed_audio/1324.wav,6.1,6.7
591,591,data/processed_audio/591.wav,5.7,6.2
1654,1654,data/processed_audio/1654.wav,4.8,3.1
1480,1480,data/processed_audio/1480.wav,4.8,5.3
1835,1835,data/processed_audio/1835.wav,5.3,3.2
1187,1187,data/processed_audio/1187.wav,4.4,4.1
932,932,data/processed_audio/932.wav,4.5,4.9
